73.30;0.00
81.43;9.02
76.56;26.32
67.22;52.42
63.80;97.94
17.63;70.13
-13.75;69.54
-38.32;65.93
-84.06;57.86
-146.09;23.77
-142.74;-24.48
-120.39;-84.39
-95.60;-167.77
5.71;-168.14
17.76;-46.46
115.86;-111.04
-96.74;-5.76
-171.20;-60.91
-81.67;-19.82
-73.14;-23.18
-63.67;-109.86
-28.44;-105.59
54.65;-120.85
2.13;-27.21
2.56;-3.41
54.89;72.65
20.89;105.18
-39.47;110.71
-78.06;111.24
-126.86;96.57
-170.27;83.59
-187.13;-82.91
-40.91;115.24
-94.44;102.84
-151.19;95.14
-188.88;74.97
-169.65;2.78
-156.19;-21.20
-134.45;85.31
-171.77;125.62
-192.58;95.29
-207.04;72.72
-211.44;45.50
-218.59;-0.10
-163.23;11.07
-141.34;3.01
-124.39;-4.37
-90.95;-15.73
-85.62;13.37
-80.32;31.20
-75.49;53.26
-2.77;114.71
-93.76;122.83
-213.36;191.79
-221.12;181.47
-225.91;170.44
-228.49;158.93
-218.17;146.70
-285.77;71.68
-220.76;87.86
-196.42;82.60
-164.20;89.10
-135.33;92.98
-74.23;90.58
-80.36;149.42
-77.47;202.01
-101.45;234.18
146.37;246.26
137.45;259.88
126.12;270.45
112.50;277.23
81.94;367.54
43.71;345.87
3.71;309.72
3.40;267.95
-21.42;222.47
-6.03;186.66
22.25;144.67
30.68;62.11
110.54;48.18
184.63;78.44
202.81;139.74
102.17;231.27
101.46;233.01
101.36;230.57
100.97;231.47
101.01;231.92
101.02;232.73
101.15;233.79
102.62;234.91
238.61;328.73
125.98;270.92
109.50;269.26
97.20;276.06
32.54;366.13
5.63;306.89
-11.29;272.24
3.36;223.98
-12.66;182.53
16.22;155.35
56.70;125.80
111.65;54.26
171.09;64.18
105.12;236.14
201.90;370.86
112.53;274.05
93.92;271.47
79.41;271.58
-4.07;312.74
-13.54;270.94
4.04;221.58
9.32;189.62
27.61;144.89
71.85;122.92
134.95;51.91
191.14;74.10
250.55;128.02
107.85;230.75
103.14;232.80
103.04;232.78
103.19;233.74
104.12;235.52
130.28;274.78
112.35;274.75
93.27;273.63
79.53;270.53
-1.07;309.05
-13.35;269.80
-0.48;220.22
19.90;133.81
60.62;125.57
116.72;46.13
191.80;76.02
260.17;123.40
106.15;231.85
103.38;232.87
102.21;233.76
102.34;235.54
167.48;393.82
102.44;278.29
83.57;272.26
71.51;264.81
-16.53;284.50
-34.19;244.65
-2.97;195.03
23.66;171.06
46.63;123.12
86.16;122.19
160.35;49.52
222.72;103.35
264.05;147.31
-120.96;329.47
-122.20;316.30
-120.65;307.98
-116.65;296.43
-110.61;285.47
-113.21;250.69
-92.27;275.06
-78.24;263.29
-61.59;266.14
-47.38;275.72
-31.45;293.54
6.65;320.71
-9.98;355.88
-31.44;373.47
-54.10;386.80
-84.31;322.59
-88.02;327.89
-87.29;319.50
-86.93;316.64
