106.06;0.00
102.88;12.91
96.93;24.63
119.15;82.60
87.72;89.04
110.43;-53.94
125.57;-36.38
90.62;35.98
92.17;96.41
51.40;90.79
34.70;61.81
20.55;44.68
127.55;-31.36
139.96;-11.54
150.13;13.33
148.30;53.37
77.50;37.13
65.51;42.48
21.89;81.90
12.35;50.82
8.73;18.84
137.39;-10.41
141.17;12.80
133.28;35.14
124.33;73.28
-8.97;130.52
-15.39;120.05
-16.34;108.70
-14.89;99.30
-16.51;90.08
112.56;166.27
88.06;199.67
13.56;112.10
9.75;106.27
92.24;236.32
81.44;245.94
30.03;136.63
29.13;136.76
27.45;135.57
26.17;134.53
25.54;132.91
22.90;132.84
153.30;107.09
147.03;147.82
122.03;192.99
264.24;140.54
258.60;152.34
249.82;160.71
238.42;163.07
226.78;169.58
233.11;33.01
268.35;38.40
342.99;145.56
415.20;178.38
424.97;208.65
383.31;188.25
337.80;148.98
337.76;151.26
335.80;150.23
334.01;150.85
346.19;17.09
423.45;151.11
476.63;177.54
487.35;209.59
460.03;222.28
440.06;218.39
409.81;193.93
395.88;192.74
379.12;155.11
378.19;154.60
376.76;153.52
417.67;26.28
463.56;75.59
373.77;153.96
372.34;152.26
271.28;181.31
256.38;131.47
317.93;-126.06
330.47;-123.22
340.59;-117.35
348.87;-110.45
359.23;-99.58
227.41;-69.79
214.17;-104.86
268.67;-126.49
